01425061656084	成功签收	
01425061656101	成功签收	
01425061655667	成功签收	
01425061655690	成功签收	
01425061655692	成功签收	
01425061656102	到达待取	
01425061656103	成功签收	
01425061656104	到达待取	
01425061656025	到达待取	
01425061656106	运输途中	
01425061656079	到达待取	
01425061656080	到达待取	
01425061656081	成功签收	
01425061656082	到达待取	
01425061656083	到达待取	
01425061655684	到达待取	
01425061656005	成功签收	
01425061655734	运输途中	
01425061655722	成功签收	
01425061655723	到达待取	
01425061655724	到达待取	
01425061655725	成功签收	
01425061655726	运输途中	
01425061655606	运输途中	
01425061655630	运输途中	
01425061655631	运输途中	
01425061655633	到达待取	
01425061655609	到达待取	
01425061655634	投递失败	
01425061655611	成功签收	
01425061655615	成功签收	
01425061655619	投递失败	
01425061655721	运输途中	
01425061655720	投递失败	
01425061655719	投递失败	
01425061655735	运输途中	
01425061655736	成功签收	
01425061655737	到达待取	
01425061655738	到达待取	
01425061655739	到达待取	
01425061655740	成功签收	
01425061655729	到达待取	
01425061655728	成功签收	
01425061655727	到达待取	
01425061655715	到达待取	
01425061655716	成功签收	
01425061655717	成功签收	
01425061655718	到达待取	
01425061655624	成功签收	
01425061655628	成功签收	
01425061655772	到达待取	
01425061655982	成功签收	
01425061656017	到达待取	
01425061656018	成功签收	
01425061656021	运输途中	
01425061656022	成功签收	
01425061656024	到达待取	
01425061656087	成功签收	
01425061656013	到达待取	
01425061656011	成功签收	
01425061655997	运输途中	
01425061655999	到达待取	
01425061656000	到达待取	
01425061656002	投递失败	
01425061655981	成功签收	
01425061655980	成功签收	
01425061655978	投递失败	
01425061655774	成功签收	
01425061655775	到达待取	
01425061655776	成功签收	
01425061655778	到达待取	
01425061655779	到达待取	
01425061655780	运输途中	
01425061655781	投递失败	
01425061655783	成功签收	
01425061655970	运输途中	
01425061655971	到达待取	
01425061655973		
01425061655974	到达待取	
01425061655975	运输途中	
01425061655977	成功签收	
01425061656003	运输途中	
01425061655879	成功签收	
01425061655853	运输途中	
01425061655852	到达待取	
01425061655851	到达待取	
01425061655873	成功签收	
01425061655874	到达待取	
01425061655882	成功签收	
01425061655881	到达待取	
01425061655880	到达待取	
01425061655875	成功签收	
01425061655948	到达待取	
01425061655886	到达待取	
01425061655885	到达待取	
01425061655884	到达待取	
01425061655871	成功签收	
01425061655870	成功签收	
01425061655869	运输途中	
