01425061653403	成功签收	
01425061653402	成功签收	
01425061653411	成功签收	
01425061653709	成功签收	
01425061653720	运输途中	
01425061653712	投递失败	
01425061653718	运输途中	
01425061653748	投递失败	
01425061653746	投递失败	
01425061653719	成功签收	
01425061653713	成功签收	
01425061653714	成功签收	
01425061653715	到达待取	
01425061653716	成功签收	
01425061653717	成功签收	
01425061653721	成功签收	
01425061654719	运输途中	
01425061654722	成功签收	
01425061654725	运输途中	
01425061654737	到达待取	
01425061654738	到达待取	
01425061654739	成功签收	
01425061654740	成功签收	
01425061655450	运输途中	
01425061655483	成功签收	
01425061655523	运输途中	
01425061655524	运输途中	
01425061655526	运输途中	
01425061655527	运输途中	
01425061655553	运输途中	
01425061655554	运输途中	
01425061655563	运输途中	
01425061655562	运输途中	
01425061655561	运输途中	
01425061655560	运输途中	
01425061655522	运输途中	
01425061655520	运输途中	
01425061655482	运输途中	
01425061655481	运输途中	
01425061655480	运输途中	
01425061655479	运输途中	
01425061655478	运输途中	
01425061655467	运输途中	
01425061655502	运输途中	
01425061655503	运输途中	
01425061655504	运输途中	
01425061655506	运输途中	
01425061655559	运输途中	
01425061655558	运输途中	
01425061655556	运输途中	
01425061655540	运输途中	
01425061655541	运输途中	
01425061655549	运输途中	
01425061655548	运输途中	
01425061655547	运输途中	
01425061655546	运输途中	
01425061655545	运输途中	
01425061655544	运输途中	
01425061655543	运输途中	
01425061655542	投递失败	
01425061655517	运输途中	
01425061655521	运输途中	
01425061655555	运输途中	
01425061655552	投递失败	
01425061655551	运输途中	
01425061655550	运输途中	
01425061655539	运输途中	
01425061655538	运输途中	
01425061655537	运输途中	
01425061655525	运输途中	
01425061655512	运输途中	
01425061655533	运输途中	
01425061655529	运输途中	
01425061655484	运输途中	
01425061655531	运输途中	
01425061655514	运输途中	
01425061655515	运输途中	
01425061655516	运输途中	
01425061655518	运输途中	
01425061655519	运输途中	
01425061655510	运输途中	
01425061655505	运输途中	
01425061655501	运输途中	
01425061655497	运输途中	
01425061655493	运输途中	
01425061655513	运输途中	
01425061655511	运输途中	
01425061655532	成功签收	
01425061655534	成功签收	
01425061655535	成功签收	
01425061655536	成功签收	
01425061655564	成功签收	
01425061655565	成功签收	
01425061655486	运输途中	
01425061655566	运输途中	
01425061655530	到达待取	
01425061655528	运输途中	
01425061655489	成功签收	
01425061655509	运输途中	
01425061655508	成功签收	
01425061655475	成功签收	
01425061655474	运输途中	
01425061655473	成功签收	
01425061655472	成功签收	
01425061655471	运输途中	超过3天 最后更新时间 2021-08-16 11:50
01425061655470	运输途中	
01425061655469	运输途中	
01425061655468	运输途中	
01425061655476	成功签收	
01425061655477	成功签收	
01425061655500	成功签收	
01425061655499	运输途中	
01425061655507	运输途中	
01425061655487	成功签收	
01425061655488	成功签收	
01425061655490	运输途中	
01425061655491	到达待取	
01425061655492	运输途中	
01425061655494	运输途中	
01425061655495	成功签收	
01425061655496	运输途中	
01425061655498	成功签收	
01425061655485	成功签收	
01425061655653	成功签收	
01425061655652	成功签收	
01425061655637	运输途中	
01425061655625	到达待取	
01425061655623	运输途中	
01425061655622	运输途中	
01425061655621	运输途中	
01425061655620	到达待取	
01425061655618	运输途中	超过3天 最后更新时间 2021-08-16 12:20
01425061655617	到达待取	
01425061655656	到达待取	
01425061655657	到达待取	
01425061655658	运输途中	
01425061655641	成功签收	
01425061655640	成功签收	
01425061655639	运输途中	
01425061655638	运输途中	
01425061655649	运输途中	
01425061655650	运输途中	
01425061655651	到达待取	
01425061655663	运输途中	
01425061655662	运输途中	
01425061655661	运输途中	超过3天 最后更新时间 2021-08-16 12:35
01425061655660	成功签收	
01425061655659	成功签收	
01425061655616	运输途中	
01425061655614	运输途中	
01425061655613	成功签收	
01425061655666	成功签收	
01425061655669	成功签收	
01425061655673	到达待取	
01425061655691	运输途中	
01425061655693	运输途中	超过3天 最后更新时间 2021-08-16 12:35
01425061655694	运输途中	超过3天 最后更新时间 2021-08-16 12:35
01425061655695	运输途中	超过3天 最后更新时间 2021-08-16 12:35
01425061655696	运输途中	
01425061655697	运输途中	超过3天 最后更新时间 2021-08-16 12:35
01425061655712	到达待取	
01425061655713	运输途中	
01425061655714	成功签收	
01425061655730	运输途中	超过3天 最后更新时间 2021-08-16 12:36
01425061655731	运输途中	
01425061655732	运输途中	超过3天 最后更新时间 2021-08-16 12:36
01425061655612	运输途中	
01425061655610	运输途中	超过3天 最后更新时间 2021-08-16 12:20
01425061655608	成功签收	
01425061655607	运输途中	
01425061655626	到达待取	
01425061655627	投递失败	
01425061655629	运输途中	
01425061655636	运输途中	
01425061655635	到达待取	
01425061655632	到达待取	
01425061655677	成功签收	
01425061655681	成功签收	
01425061655686	运输途中	
01425061655811	到达待取	
01425061655838	成功签收	
01425061655834	成功签收	
01425061655830	到达待取	
01425061655826	运输途中	超过3天 最后更新时间 2021-08-16 12:36
01425061655790	运输途中	
01425061655787	成功签收	
01425061655782	成功签收	
01425061655752	运输途中	
01425061655751	运输途中	
01425061655750	运输途中	
01425061655749	运输途中	
01425061655748	运输途中	
01425061655842	到达待取	
01425061655843	到达待取	
01425061655844	到达待取	
01425061655806	运输途中	
01425061655801	运输途中	
01425061655798	运输途中	超过3天 最后更新时间 2021-08-16 12:36
01425061655794  到达待取
